model,accuracy,precision,recall,f1,fit_seconds
kNN,0.8300472943922363,0.6548952052828022,0.593083723348934,0.6224587256105881,0.2
LogisticRegression,0.8384620109329893,0.6921618204804045,0.5694227769110765,0.6248216833095578,0.4
RandomForest,0.8264848596523555,0.6533493541604085,0.5655226209048362,0.6062717770034843,9.8
